Sampling Period,Sampling Location,Radionuclide,Result (pCi/m3),Counting Error (pCi/m3),Minimum Detectable Activity 95% (pCi/m3,Total Effective Dose Equivalent (millirem),NRC Effluent Air Conc. Limit (pCi/m3)
2012Q3,Livermore,Beryllium-7,0.119,0.00318,0.00227,0.000198333,30000
2012Q3,Livermore,Potassium-40,0.000000163,0.000541,0.00254,0,600
2012Q3,Livermore,Niobium-95,-0.0000284,0.000125,0.000345,0,2000
2012Q3,Livermore,Zirconium-95,0.000217,0.000149,0.000323,0,400
2012Q3,Livermore,Ruthenium-103,0.000139,0.0000901,0.000276,0,900
2012Q3,Livermore,Ruthenium-106,0.00011,0.000326,0.000921,0,20
2012Q3,Livermore,Cesium-137,-0.0000123,0.0000353,0.0000971,0,200
2012Q3,Livermore,Cerium-141,0.000261,0.000145,0.000478,0,800
2012Q3,Livermore,Cerium-144,-0.0000467,0.000174,0.000555,0,20
2012Q3,San Luis Obispo,Beryllium-7,0.0687,0.00195,0.00212,0.0001145,30000
2012Q3,San Luis Obispo,Potassium-40,-0.000997,0.000598,0.00285,0,600
2012Q3,San Luis Obispo,Niobium-95,0.00000361,0.000127,0.000356,0,2000
2012Q3,San Luis Obispo,Zirconium-95,0.0000217,0.000144,0.000345,0,400
2012Q3,San Luis Obispo,Ruthenium-103,-0.0000541,0.0001,0.000286,0,900
2012Q3,San Luis Obispo,Ruthenium-106,-0.000149,0.000367,0.001,0,20
2012Q3,San Luis Obispo,Cesium-137,0.0000283,0.0000358,0.000103,0,200
2012Q3,San Luis Obispo,Cerium-141,0.00028,0.000143,0.000475,0,800
2012Q3,San Luis Obispo,Cerium-144,-0.000416,0.00018,0.000543,0,20
2012Q3,Diablo Canyon,Beryllium-7,0.043,0.00139,0.00273,7.17E-05,30000
2012Q3,Diablo Canyon,Potassium-40,0.000585,0.000805,0.00376,0,600
2012Q3,Diablo Canyon,Niobium-95,0.000184,0.000154,0.000471,0,2000
2012Q3,Diablo Canyon,Zirconium-95,-0.000463,0.000198,0.000455,0,400
2012Q3,Diablo Canyon,Ruthenium-103,-0.000125,0.000145,0.000359,0,900
2012Q3,Diablo Canyon,Ruthenium-106,0.000167,0.000468,0.00139,0,20
2012Q3,Diablo Canyon,Cesium-137,0.00000984,0.0000503,0.000148,0,200
2012Q3,Diablo Canyon,Cerium-141,-0.000234,0.000216,0.000585,0,800
2012Q3,Diablo Canyon,Cerium-144,0.000000273,0.000278,0.000767,0,20
2012Q3,San Onofre,Beryllium-7,0.0672,0.00195,0.00238,0.000112,30000
2012Q3,San Onofre,Potassium-40,0.0000493,0.000646,0.00304,0,600
2012Q3,San Onofre,Niobium-95,-0.000127,0.000136,0.000359,0,2000
2012Q3,San Onofre,Zirconium-95,0.000038,0.000164,0.000363,0,400
2012Q3,San Onofre,Ruthenium-103,-0.0000135,0.0000958,0.000278,0,900
2012Q3,San Onofre,Ruthenium-106,0.0000392,0.000394,0.00111,0,20
2012Q3,San Onofre,Cesium-137,0.0000518,0.0000389,0.000116,0,200
2012Q3,San Onofre,Cerium-141,0,0,0,0,800
2012Q3,San Onofre,Cerium-144,-0.000164,0.000221,0.000521,0,20
2012Q3,San Diego,Beryllium-7,0.095,0.00265,0.00369,0.000158333,30000
2012Q3,San Diego,Potassium-40,0.00311,0.000691,0.00312,0,600
2012Q3,San Diego,Niobium-95,-0.00025,0.000144,0.000399,0,2000
2012Q3,San Diego,Zirconium-95,0.0000277,0.000156,0.000398,0,400
2012Q3,San Diego,Ruthenium-103,0.0000342,0.00012,0.000311,0,900
2012Q3,San Diego,Ruthenium-106,0.000287,0.00038,0.00114,0,20
2012Q3,San Diego,Cesium-137,0.000105,0.0000383,0.000122,0,200
2012Q3,San Diego,Cerium-141,0.00000822,0.000194,0.000536,0,800
2012Q3,San Diego,Cerium-144,-0.000551,0.000252,0.00066,0,20
2012Q4,Eureka,Beryllium-7,0.0504,0.00156,0.00265,0.000084,30000
2012Q4,Eureka,Potassium-40,-0.000348,0.000598,0.00283,0,600
2012Q4,Eureka,Niobium-95,-0.0000681,0.000176,0.00046,0,2000
2012Q4,Eureka,Zirconium-95,-0.00000191,0.000184,0.000392,0,400
2012Q4,Eureka,Ruthenium-103,-0.0000574,0.000128,0.00035,0,900
2012Q4,Eureka,Ruthenium-106,0.0000636,0.000359,0.001,0,20
2012Q4,Eureka,Cesium-137,0.0000377,0.0000351,0.000102,0,200
2012Q4,Eureka,Cerium-141,0.00045,0.000196,0.00062,0,800
2012Q4,Eureka,Cerium-144,-0.0000951,0.000202,0.000608,0,20
2012Q4,Humboldt Bay,Beryllium-7,0.0584,0.00166,0.00206,9.73E-05,30000
